q,nu,chi1z,chi2z,chieff,ecc,ecc_gi,m_ano_gi,E0,J0,Emrg_til,Jmrg_til,Heff_til,b_massless,b_massless_Heff,b_massless_EOB,a_f,A_220,A_320,A_440,v_kick,A_peak22,omega_peak22,Mf,af,A_peak22dotdot,A_nr_error,v_kick_qc,A_peak22_qc,omega_peak22_qc,Mf_qc,af_qc,ID,catalog
1.0,0.25,0.0,0.0,0.0,0.25,,,0.98779735841762,0.868452971506417,0.9709952586373832,2.883384127929815,0.8856635845925576,2.969514116862038,3.255620054940266,3.1611916372717754,0.6870297717,0.0,0.0,0.0,0.0,0.4039495323781028,0.3315050486781672,0.948925931,0.6870297717,-0.0006368655800994,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1120,RIT
1.0,0.25,0.0,0.0,0.0,0.516975,,,0.992581554977276,0.934316161519352,0.9713005843895788,2.890942988482565,0.8868496504710741,2.976362863303949,3.259789285531052,3.166235238023197,0.6963604896,0.0,0.0,0.0,0.0,0.4218444327250361,0.361886473550257,0.9491976614,0.6963604896,-0.0012284180033328,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1302,RIT
1.0,0.25,0.0,0.0,0.0,0.245,,,0.987856239916198,0.871343006021802,0.9693387413112364,2.835220110810897,0.8792351908137046,2.92490126514046,3.224643577092256,3.125771946195971,0.6846273603,0.0,0.0,0.0,0.0,0.3948582100597984,0.3551816187616268,0.9492572561,0.6846273603,-0.0003771156368416,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1119,RIT
1.0,0.25,0.0,0.0,0.0,0.36,0.2247020981030534,0.0448796507775952,0.993401267889143,1.07547184059779,0.9702295044764546,2.829153638604196,0.8826905827132534,2.915963311310384,3.205147640646417,3.1097288071582514,0.6894482552,0.0,0.0,0.0,0.0,0.4002765041184764,0.3603093144885179,0.9510237512,0.6894482552,-0.0009919779337574,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1285,RIT
1.0,0.25,0.0,0.0,0.0,0.02,0.013032786203698,6.0370542842289385,0.990502046289445,0.992724434704118,0.9697165745815778,2.809497525593506,0.8807004700364574,2.8972357482966338,3.1900715636920283,3.093465269413532,0.686542189,0.0,0.0,0.0,0.0,0.3937320339979368,0.3675906579650245,0.9515316745,0.686542189,-0.0011027990780572,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1097,RIT
1.0,0.25,0.0,0.0,0.0,0.5644,,,0.992333794152879,0.887264268493197,0.9739490898505988,2.988262690789307,0.89715365924162,3.068191881823821,3.330825951616068,3.2440549040272244,0.7036044709,0.0,0.0,0.0,0.0,0.4443454185449089,0.3650435354832275,0.9471965554,0.7036044709,-0.0006055088371972,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1311,RIT
1.0,0.25,0.0,0.0,0.0,0.3276,0.1854906216856484,1.2761538174674456,0.993570386164343,1.10235863661276,0.9694580612278108,2.807591659275066,0.8796978649591713,2.896042409219099,3.1915408359043504,3.0940649911052183,0.6855195723,0.0,0.0,0.0,0.0,0.3956211657397162,0.3551607824477401,0.9508768245,0.6855195723,-0.0010661496182107,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1284,RIT
1.0,0.25,0.0,0.0,0.0,0.4224,0.3374508263326287,3.53073252910998,0.993075485745047,1.02169824856792,0.9692683499862952,2.772070634164808,0.8789622685703105,2.859961984938437,3.153799353268897,3.0568778953307887,0.6821641904,0.0,0.0,0.0,0.0,0.3856629473088067,0.3649043023374361,0.9521295211,0.6821641904,-0.0010721236826839,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1291,RIT
1.0,0.25,0.0,0.0,0.0,0.185,,,0.988562507209312,0.905304081091307,0.970786659175597,2.855561690824344,0.8848534752666335,2.9414925141733197,3.227157682760839,3.1328816254802563,0.6908829013,0.0,0.0,0.0,0.0,0.4027129214281199,0.3584234841358196,0.9508997624,0.6908829013,-0.001012510985316,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1114,RIT
1.0,0.25,0.0,0.0,0.0,0.04,0.0406861250932445,3.568675525852001,0.990267171961859,0.982542376470068,0.970529801849773,2.8240515877911947,0.8838561925571193,2.90980409092922,3.195148273635804,3.1009866208924013,0.6864700458,0.0,0.0,0.0,0.0,0.3929173854652777,0.3505597065430956,0.9517875739,0.6864700458,-0.0009975711342122,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1098,RIT
